"서울ㆍ인천ㆍ경기도":"서울":"A02":"2020-07-19 00:00":"흐림":"22":"28":"40"
"서울ㆍ인천ㆍ경기도":"서울":"A02":"2020-07-19 12:00":"흐리고 비":"22":"28":"80"
"서울ㆍ인천ㆍ경기도":"서울":"A02":"2020-07-20 00:00":"흐리고 비":"23":"26":"100"
"서울ㆍ인천ㆍ경기도":"서울":"A02":"2020-07-20 12:00":"흐리고 비":"23":"26":"90"
"서울ㆍ인천ㆍ경기도":"서울":"A02":"2020-07-21 00:00":"흐리고 비":"23":"28":"60"
"서울ㆍ인천ㆍ경기도":"서울":"A02":"2020-07-21 12:00":"흐리고 비":"23":"28":"60"
"서울ㆍ인천ㆍ경기도":"서울":"A02":"2020-07-22 00:00":"흐림":"22":"29":"40"
"서울ㆍ인천ㆍ경기도":"서울":"A02":"2020-07-22 12:00":"흐림":"22":"29":"40"
"서울ㆍ인천ㆍ경기도":"서울":"A02":"2020-07-23 00:00":"흐리고 비":"22":"28":"60"
"서울ㆍ인천ㆍ경기도":"서울":"A02":"2020-07-23 12:00":"흐리고 비":"22":"28":"60"
"서울ㆍ인천ㆍ경기도":"서울":"A01":"2020-07-24 00:00":"흐림":"22":"29":"40"
"서울ㆍ인천ㆍ경기도":"서울":"A01":"2020-07-25 00:00":"흐림":"22":"30":"40"
"서울ㆍ인천ㆍ경기도":"서울":"A01":"2020-07-26 00:00":"흐림":"22":"29":"40"
"서울ㆍ인천ㆍ경기도":"인천":"A02":"2020-07-19 00:00":"흐림":"22":"27":"40"
"서울ㆍ인천ㆍ경기도":"인천":"A02":"2020-07-19 12:00":"흐리고 비":"22":"27":"80"
"서울ㆍ인천ㆍ경기도":"인천":"A02":"2020-07-20 00:00":"흐리고 비":"24":"26":"100"
"서울ㆍ인천ㆍ경기도":"인천":"A02":"2020-07-20 12:00":"흐리고 비":"24":"26":"90"
"서울ㆍ인천ㆍ경기도":"인천":"A02":"2020-07-21 00:00":"흐리고 비":"22":"26":"60"
"서울ㆍ인천ㆍ경기도":"인천":"A02":"2020-07-21 12:00":"흐리고 비":"22":"26":"60"
"서울ㆍ인천ㆍ경기도":"인천":"A02":"2020-07-22 00:00":"흐림":"22":"27":"40"
"서울ㆍ인천ㆍ경기도":"인천":"A02":"2020-07-22 12:00":"흐림":"22":"27":"40"
"서울ㆍ인천ㆍ경기도":"인천":"A02":"2020-07-23 00:00":"흐리고 비":"22":"27":"60"
"서울ㆍ인천ㆍ경기도":"인천":"A02":"2020-07-23 12:00":"흐리고 비":"22":"27":"60"
"서울ㆍ인천ㆍ경기도":"인천":"A01":"2020-07-24 00:00":"흐림":"22":"28":"40"
"서울ㆍ인천ㆍ경기도":"인천":"A01":"2020-07-25 00:00":"흐림":"22":"28":"40"
"서울ㆍ인천ㆍ경기도":"인천":"A01":"2020-07-26 00:00":"흐림":"22":"27":"40"
"서울ㆍ인천ㆍ경기도":"수원":"A02":"2020-07-19 00:00":"흐림":"21":"28":"40"
"서울ㆍ인천ㆍ경기도":"수원":"A02":"2020-07-19 12:00":"흐리고 비":"21":"28":"80"
"서울ㆍ인천ㆍ경기도":"수원":"A02":"2020-07-20 00:00":"흐리고 비":"23":"27":"100"
"서울ㆍ인천ㆍ경기도":"수원":"A02":"2020-07-20 12:00":"흐리고 비":"23":"27":"90"
"서울ㆍ인천ㆍ경기도":"수원":"A02":"2020-07-21 00:00":"흐리고 비":"23":"28":"60"
"서울ㆍ인천ㆍ경기도":"수원":"A02":"2020-07-21 12:00":"흐리고 비":"23":"28":"60"
"서울ㆍ인천ㆍ경기도":"수원":"A02":"2020-07-22 00:00":"흐림":"22":"29":"40"
"서울ㆍ인천ㆍ경기도":"수원":"A02":"2020-07-22 12:00":"흐림":"22":"29":"40"
"서울ㆍ인천ㆍ경기도":"수원":"A02":"2020-07-23 00:00":"흐리고 비":"22":"28":"60"
"서울ㆍ인천ㆍ경기도":"수원":"A02":"2020-07-23 12:00":"흐리고 비":"22":"28":"60"
"서울ㆍ인천ㆍ경기도":"수원":"A01":"2020-07-24 00:00":"흐림":"22":"29":"40"
"서울ㆍ인천ㆍ경기도":"수원":"A01":"2020-07-25 00:00":"흐림":"22":"30":"40"
"서울ㆍ인천ㆍ경기도":"수원":"A01":"2020-07-26 00:00":"흐림":"22":"29":"40"
"서울ㆍ인천ㆍ경기도":"파주":"A02":"2020-07-19 00:00":"흐림":"20":"28":"40"
"서울ㆍ인천ㆍ경기도":"파주":"A02":"2020-07-19 12:00":"흐리고 비":"20":"28":"80"
"서울ㆍ인천ㆍ경기도":"파주":"A02":"2020-07-20 00:00":"흐리고 비":"22":"27":"100"
"서울ㆍ인천ㆍ경기도":"파주":"A02":"2020-07-20 12:00":"흐리고 비":"22":"27":"90"
"서울ㆍ인천ㆍ경기도":"파주":"A02":"2020-07-21 00:00":"흐리고 비":"22":"28":"60"
"서울ㆍ인천ㆍ경기도":"파주":"A02":"2020-07-21 12:00":"흐리고 비":"22":"28":"60"
"서울ㆍ인천ㆍ경기도":"파주":"A02":"2020-07-22 00:00":"흐림":"22":"27":"40"
"서울ㆍ인천ㆍ경기도":"파주":"A02":"2020-07-22 12:00":"흐림":"22":"27":"40"
"서울ㆍ인천ㆍ경기도":"파주":"A02":"2020-07-23 00:00":"흐리고 비":"22":"28":"60"
"서울ㆍ인천ㆍ경기도":"파주":"A02":"2020-07-23 12:00":"흐리고 비":"22":"28":"60"
"서울ㆍ인천ㆍ경기도":"파주":"A01":"2020-07-24 00:00":"흐림":"21":"28":"40"
"서울ㆍ인천ㆍ경기도":"파주":"A01":"2020-07-25 00:00":"흐림":"21":"29":"40"
"서울ㆍ인천ㆍ경기도":"파주":"A01":"2020-07-26 00:00":"흐림":"20":"28":"40"
"서울ㆍ인천ㆍ경기도":"이천":"A02":"2020-07-19 00:00":"흐림":"20":"27":"40"
